player,season,games_played,win_pct_with,games_missed,win_pct_without,win_pct_diff
Larry Bird,1984-85,80,78.8,2,0.0,78.8
Larry Bird,1985-86,82,81.7,0,,
Magic Johnson,1986-87,80,78.8,2,100.0,-21.2
Michael Jordan,1987-88,82,61.0,0,,
Magic Johnson,1988-89,77,70.1,5,60.0,10.1
Magic Johnson,1989-90,79,78.5,3,33.3,45.2
Michael Jordan,1990-91,82,74.4,0,,
Michael Jordan,1991-92,80,83.8,2,0.0,83.8
Charles Barkley,1992-93,76,80.3,6,16.7,63.6
Hakeem Olajuwon,1993-94,80,71.2,2,50.0,21.2
Michael Jordan,1995-96,82,87.8,0,,
Karl Malone,1996-97,82,78.0,0,,
Michael Jordan,1997-98,82,75.6,0,,
Karl Malone,1998-99,49,73.5,1,100.0,-26.5
Shaquille O'Neal,1999-00,79,83.5,3,33.3,50.2
Allen Iverson,2000-01,71,70.4,11,54.5,15.9
Tim Duncan,2001-02,82,70.7,0,,
Tim Duncan,2002-03,81,74.1,1,0.0,74.1
Kevin Garnett,2003-04,82,70.7,0,,
Steve Nash,2005-06,79,68.4,3,0.0,68.4
Dirk Nowitzki,2006-07,78,82.1,4,75.0,7.1
Kobe Bryant,2007-08,82,69.5,0,,
LeBron James,2008-09,81,81.5,1,0.0,81.5
LeBron James,2009-10,76,78.9,6,16.7,62.2
Derrick Rose,2010-11,81,76.5,1,0.0,76.5
LeBron James,2011-12,62,72.6,4,25.0,47.6
LeBron James,2012-13,76,80.3,6,83.3,-3.0
Kevin Durant,2013-14,81,71.6,1,100.0,-28.4
Stephen Curry,2014-15,80,83.8,2,0.0,83.8
Stephen Curry,2015-16,79,89.9,3,66.7,23.2
Russell Westbrook,2016-17,81,56.8,1,100.0,-43.2
James Harden,2017-18,72,81.9,10,60.0,21.9
Giannis Antetokounmpo,2018-19,72,77.8,10,40.0,37.8
Giannis Antetokounmpo,2019-20,63,81.0,10,50.0,31.0
Nikola Jokić,2020-21,72,65.3,0,,
Nikola Jokić,2021-22,74,62.2,8,25.0,37.2
Joel Embiid,2022-23,66,65.2,16,68.8,-3.6
Nikola Jokić,2023-24,79,69.6,3,66.7,2.9
Shai Gilgeous-Alexander,2024-25,76,82.9,6,83.3,-0.4
